County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Decatur County, GA,3,11,111,254,743,25,0,27359
Cibola County, NM,1,7,174,232,199,51,2,27335
Garvin County, OK,0,10,53,221,410,43,17,27334
Toombs County, GA,3,14,52,235,610,34,1,27273
St. Francis County, AR,4,45,92,465,1081,34,9,27260
Montgomery County, KY,0,19,22,363,620,45,3,27251
Cherokee County, NC,3,3,43,298,469,36,7,27218
Winchester city, VA,1,17,33,162,1011,29,5,27216
Meade County, SD,0,0,16,36,201,11,0,27202
Carter County, KY,0,3,8,78,105,13,1,27202
Orleans County, VT,0,0,25,174,273,25,3,27169
Ashe County, NC,0,1,23,221,295,32,2,27151
Lewis County, NY,0,2,17,124,263,10,7,27149
Mason County, WV,3,4,20,80,285,30,1,27126
De Soto Parish, LA,3,17,368,149,494,60,0,27083
Barbour County, AL,0,8,36,90,362,21,0,27076
Morehouse Parish, LA,0,34,136,315,842,50,6,27057
Peach County, GA,0,19,157,286,688,47,1,27014
Baker County, FL,0,9,51,51,230,16,0,27013
Monroe County, GA,0,6,31,126,359,37,4,26984
Uvalde County, TX,3,3,93,181,595,22,4,26926
Jefferson County, ID,0,0,13,33,121,11,0,26914
Logan County, KY,1,8,22,156,283,19,7,26876
Grimes County, TX,1,8,85,187,339,42,0,26859
San Jacinto County, TX,0,8,57,274,355,89,3,26856
Bradford County, FL,0,6,112,179,339,26,2,26850
Clay County, IN,0,1,18,45,199,18,0,26803
Geneva County, AL,0,5,73,162,394,34,9,26727
Jasper County, SC,9,25,29,201,547,62,8,26629
Upson County, GA,1,16,25,269,617,20,1,26566
Juneau County, WI,0,1,42,106,337,14,0,26547
Wasatch County, UT,0,0,10,36,176,7,0,26437
Edgefield County, SC,2,7,36,147,337,37,3,26436
Boone County, IA,1,2,63,122,234,6,3,26364
Hardeman County, TN,4,11,130,225,376,54,8,26306
Decatur County, IN,0,1,32,8,114,3,3,26277
Somerset County, MD,3,9,60,147,338,9,4,26273
Oceana County, MI,3,3,18,149,361,14,1,26245
White County, TN,1,6,97,169,518,51,5,26244
Cherokee County, AL,1,2,102,329,610,75,12,26203
Marion County, MS,1,12,28,255,307,21,5,26180
Elmore County, ID,0,3,53,57,247,10,10,26170
Anson County, NC,1,30,93,508,769,38,3,26161
McNairy County, TN,0,5,122,153,378,42,2,26140
Charlevoix County, MI,0,0,13,60,314,9,2,26129
Dickinson County, MI,0,0,2,12,51,3,1,26098
Jackson County, OK,1,11,50,237,490,27,3,26088
Hardin County, TN,1,12,101,282,586,50,6,26034
Grayson County, KY,0,1,13,141,198,23,3,25997
Fluvanna County, VA,0,0,14,57,145,7,4,25977
Nicholas County, WV,1,2,196,86,308,19,16,25965
Mingo County, WV,3,5,63,86,177,31,1,25900
Johnson County, AR,2,1,38,271,445,10,3,25846
Mille Lacs County, MN,0,11,48,195,592,53,3,25833
Shelby County, TX,5,18,50,169,373,34,3,25792
Franklin County, KS,0,5,52,153,388,25,10,25740
Cheboygan County, MI,0,1,12,105,382,9,1,25726
Benton County, IA,0,0,9,156,108,11,2,25699
Cleburne County, AR,0,3,46,323,518,52,9,25686
Stephens County, GA,4,15,74,161,733,20,0,25683
Audrain County, MO,0,4,35,105,370,9,5,25661
Union County, OR,0,2,23,188,526,30,7,25652
Montezuma County, CO,1,5,52,60,326,25,1,25642
Texas County, MO,1,0,21,156,403,27,2,25636
Randolph County, IN,0,0,6,134,320,21,2,25627
Adair County, MO,0,2,52,115,572,15,4,25572
Allen Parish, LA,0,2,21,57,223,6,0,25537
Tattnall County, GA,0,2,12,129,246,34,0,25526
Gladwin County, MI,1,1,38,158,246,15,5,25493
Lyon County, MN,0,0,28,138,290,12,4,25487
Posey County, IN,0,3,6,107,299,23,2,25486
Wasco County, OR,2,11,19,161,629,43,3,25477
Hart County, GA,0,6,86,200,677,14,0,25446
Iosco County, MI,0,3,31,202,366,14,14,25429
Seminole County, OK,2,4,18,271,487,56,8,25426
Prentiss County, MS,0,0,0,3,57,0,0,25388
Cass County, NE,0,1,8,67,388,37,2,25357
Gillespie County, TX,0,4,11,60,270,13,0,25357
Brown County, MN,0,0,4,68,181,4,0,25332
Tillamook County, OR,0,2,7,137,382,17,5,25317
Salem city, VA,0,5,3,75,480,27,0,25299
Grady County, GA,0,5,27,130,346,20,0,25278
Woodford County, KY,0,7,16,186,524,32,6,25275
Clarke County, AL,0,12,93,172,399,34,1,25207
Lee County, VA,1,11,22,115,311,2,6,25185
Coahoma County, MS,0,5,17,731,192,5,0,25182
Washington County, MO,1,2,39,142,396,44,6,25172
Yates County, NY,0,0,14,111,291,4,3,25156
Chattooga County, GA,0,0,40,144,335,15,0,25138
Miller County, MO,0,1,36,190,414,16,3,25092
Lamoille County, VT,0,0,18,51,312,39,1,25067
Abbeville County, SC,0,12,111,216,496,25,13,25007
Ouachita County, AR,2,11,75,240,471,8,3,25002
Plymouth County, IA,2,0,8,52,173,13,4,24957
Randolph County, MO,0,8,31,122,558,25,8,24940
Saline County, IL,0,4,78,198,270,29,3,24939
King George County, VA,0,3,15,58,279,15,2,24926
Lawrence County, SD,0,0,23,66,585,15,0,24910
Fayette County, TX,1,3,19,90,176,14,1,24821
Juniata County, PA,0,2,9,79,127,14,1,24768
Grant County, KY,0,4,7,95,160,16,1,24753
Upshur County, WV,1,1,6,87,297,8,0,24665
Luna County, NM,0,6,130,243,583,28,4,24659
Taylor County, KY,3,18,20,209,341,16,5,24649
Washington County, FL,0,4,62,100,283,17,2,24624
Bremer County, IA,2,1,42,51,142,4,0,24624
West Baton Rouge Parish, LA,4,7,67,72,565,34,1,24573
Crawford County, MO,3,1,39,150,324,21,0,24543
White County, IN,3,6,32,36,218,24,2,24466
Manistee County, MI,1,4,37,100,250,10,2,24450
Hertford County, NC,4,15,50,225,350,35,6,24431
Currituck County, NC,0,2,33,114,419,11,6,24396
Todd County, MN,0,1,25,89,250,14,1,24382
Lincoln County, KY,1,4,5,55,101,19,1,24370
Aransas County, TX,1,4,44,229,595,32,5,24356
Staunton city, VA,0,11,24,61,464,9,5,24350
Waushara County, WI,0,2,17,85,340,18,4,24329
Hickman County, TN,0,3,50,170,229,28,0,24267
Sabine Parish, LA,0,6,69,73,472,4,0,24235
Boone County, WV,0,2,50,116,265,33,3,24224
Dawson County, NE,0,0,18,104,365,22,2,24207
Milam County, TX,2,6,44,145,421,20,2,24167
Columbia County, AR,0,5,38,388,318,31,1,24164
Winston County, AL,1,3,74,177,385,48,6,24146
Poinsett County, AR,2,7,55,217,424,16,5,24145
Otsego County, MI,0,2,25,87,334,20,2,24129
Churchill County, NV,1,6,36,153,385,39,1,24063
Roscommon County, MI,0,2,28,130,389,16,3,24014
Ohio County, KY,3,1,21,132,136,26,7,23988
Fairfax city, VA,0,7,10,24,401,22,1,23973
Scott County, IN,2,8,46,274,756,25,1,23972
Panola County, TX,0,8,58,208,437,44,4,23870
Fayette County, IN,0,0,1,1,7,0,0,23861
Page County, VA,2,7,15,112,329,11,11,23821
Menominee County, MI,0,2,27,158,379,12,1,23791
Fannin County, GA,0,2,80,172,285,39,4,23760
Iowa County, WI,0,2,31,62,184,14,1,23749
Brooke County, WV,0,3,19,95,204,22,2,23737
Elbert County, CO,0,1,9,39,66,3,0,23733
Martin County, NC,3,32,84,425,619,40,6,23699
Beckham County, OK,1,1,33,125,328,37,3,23637
Letcher County, KY,1,1,4,62,60,7,1,23619
Buchanan County, VA,1,4,31,117,327,26,6,23597
Sumner County, KS,0,3,49,172,453,24,3,23591
Plaquemines Parish, LA,0,3,34,124,312,4,0,23550
Hockley County, TX,1,9,74,223,418,11,3,23530
Rowan County, KY,0,4,5,66,228,10,1,23527
Routt County, CO,1,4,30,55,296,26,3,23513
Meigs County, OH,1,5,8,177,182,16,1,23496
Johnson County, KY,2,4,7,77,125,15,1,23449
Hampshire County, WV,0,2,100,97,119,15,2,23445
Itawamba County, MS,1,2,26,76,221,14,0,23434
Seward County, KS,0,7,58,163,423,21,0,23390
Leake County, MS,0,3,9,17,30,1,0,23389
Antrim County, MI,0,0,22,95,279,28,1,23370
Butts County, GA,0,12,43,118,392,49,0,23361
Crisp County, GA,3,44,55,333,993,36,4,23336
Cassia County, ID,2,1,22,70,269,16,0,23331
Limestone County, TX,2,7,63,246,380,46,6,23326
Teller County, CO,0,0,43,52,179,12,3,23275
Nodaway County, MO,1,4,20,67,301,15,0,23261
Osceola County, MI,0,4,43,101,297,18,3,23259
Saline County, MO,1,3,26,111,337,21,2,23252
Starke County, IN,0,0,25,34,151,10,3,23197
Caswell County, NC,2,4,48,214,288,17,7,23190
Assumption Parish, LA,2,7,65,96,290,21,3,23187
George County, MS,2,1,8,41,106,4,0,23159
Meeker County, MN,0,1,12,87,294,23,0,23119
Fairfield County, SC,4,15,129,211,607,68,5,23109
Mitchell County, GA,0,12,52,119,415,29,0,23045
Gray County, TX,0,6,103,269,609,35,4,23043
Ray County, MO,2,0,46,157,418,33,6,23039
Wyoming County, WV,1,7,73,131,266,25,3,23019
Franklin County, IN,0,1,6,100,115,8,0,22951
Burke County, GA,2,11,137,215,397,21,0,22923
Houston County, TX,1,1,33,131,237,26,2,22911
Emanuel County, GA,2,14,118,253,799,59,2,22867
Taylor County, FL,3,6,135,117,164,15,3,22857
Prince Edward County, VA,1,6,13,81,395,15,1,22802
Clark County, AR,5,4,69,201,486,19,1,22743
Randolph County, AL,0,3,54,228,408,44,6,22727
Grainger County, TN,0,2,31,105,340,28,1,22702
Macon County, TN,0,0,65,56,149,26,1,22701
Yankton County, SD,0,3,31,84,448,28,2,22696
Pottawatomie County, KS,0,1,49,88,241,19,15,22691
Dawson County, GA,0,2,9,69,281,24,3,22686
Hood River County, OR,0,3,22,37,129,16,1,22675
Jersey County, IL,0,0,24,80,322,6,2,22641
Scott County, VA,0,3,11,105,272,16,5,22640
Payette County, ID,0,0,49,119,292,14,5,22610
McDonald County, MO,1,4,143,110,266,25,6,22558
Jerome County, ID,0,7,45,138,186,21,6,22514
Bibb County, AL,1,8,36,122,251,27,0,22512
Pointe Coupee Parish, LA,0,4,101,111,187,21,0,22499
Hempstead County, AR,2,12,116,332,615,51,6,22474
Logan County, CO,2,4,36,150,364,14,1,22450
Wyandot County, OH,0,1,5,29,127,3,0,22447
Mahaska County, IA,0,1,39,121,218,11,4,22417
Jo Daviess County, IL,0,0,21,56,143,8,1,22407
Union Parish, LA,0,2,62,86,208,6,0,22344
Curry County, OR,0,3,13,104,268,25,7,22339
Rockbridge County, VA,0,2,17,121,230,13,6,22307
Teton County, WY,0,1,35,28,203,6,0,22268
Monroe County, AL,0,8,91,129,423,25,2,22236
Adair County, OK,1,1,60,156,157,20,7,22194
Hopewell city, VA,2,32,55,209,617,54,5,22163
Moore County, TX,1,2,43,103,373,27,4,22141
Barnwell County, SC,5,33,169,349,691,74,10,22119
Shelby County, IL,0,0,10,46,98,9,1,22119
Asotin County, WA,0,6,40,100,611,33,1,22110
Tippah County, MS,0,1,11,53,46,5,0,22084
Logan County, AR,0,1,31,196,271,33,1,22082
Texas County, OK,0,6,24,77,312,22,7,22081
Overton County, TN,1,2,59,119,167,13,5,22075
Fayette County, IL,0,0,28,91,249,9,1,22060
Henry County, MO,0,3,80,227,523,46,3,22059
Grant Parish, LA,0,0,11,77,176,6,1,22030
Washington County, IA,0,1,65,61,103,9,1,22015
Scott County, TN,2,1,48,171,357,31,3,22015
Franklin County, GA,0,6,26,133,361,26,0,22009
Willacy County, TX,0,4,113,226,463,16,7,21921
Morgan County, TN,2,4,69,161,270,31,1,21915
Yell County, AR,1,6,48,198,239,25,4,21893
Perry County, IL,0,0,32,62,119,11,3,21887
Gage County, NE,0,2,28,138,448,15,1,21864
Hutchinson County, TX,0,5,116,184,489,21,5,21819
Anderson County, KY,0,3,6,57,97,13,1,21811
Calhoun County, TX,0,3,90,191,359,29,5,21806
St. James Parish, LA,1,9,110,128,401,16,0,21752
Leelanau County, MI,0,0,3,22,83,2,0,21747
Newton County, MS,0,0,0,4,0,1,0,21689
Goochland County, VA,2,0,14,50,155,7,0,21626
Nobles County, MN,0,3,20,56,159,14,1,21617
Grenada County, MS,7,21,61,278,367,24,0,21612
Union County, GA,0,1,17,96,183,13,5,21566
McDuffie County, GA,1,1,10,107,161,15,0,21565
Lincoln County, WV,2,9,98,226,525,56,4,21559
Tyler County, TX,1,1,54,130,134,19,3,21464
Wabasha County, MN,0,1,6,39,146,9,2,21443
Putnam County, GA,0,13,94,173,324,11,1,21371
Vilas County, WI,0,1,5,62,170,8,0,21368
Clay County, KY,0,3,15,44,88,13,5,21364
Colusa County, CA,1,12,26,171,331,53,2,21358
Mercer County, KY,0,7,10,118,130,24,2,21349
Jay County, IN,0,4,28,52,300,19,0,21330
Blaine County, ID,1,0,65,61,114,24,2,21329
Worth County, GA,2,7,46,225,364,24,1,21291
Ashley County, AR,3,8,38,198,320,22,9,21283
Waynesboro city, VA,0,9,48,88,623,39,1,21263
Conway County, AR,0,0,49,112,446,35,10,21245
Ogemaw County, MI,0,3,35,148,273,21,6,21234
Meriwether County, GA,0,4,53,181,424,42,2,21232
Greene County, NC,0,3,17,202,174,27,3,21232
Sullivan County, IN,3,0,7,64,252,17,0,21223
Dodge County, GA,0,4,59,211,714,20,0,21221
Woodward County, OK,0,1,49,154,353,52,1,21221
Owen County, IN,0,0,0,2,6,0,0,21201
Jefferson County, OR,1,6,6,113,368,35,11,21145
Stutsman County, ND,0,0,21,91,349,33,4,21120
Uinta County, WY,0,0,4,37,333,12,0,21066
Madison County, NC,3,3,15,123,150,21,6,21022
Winneshiek County, IA,0,0,3,9,90,1,0,20994
Carbon County, UT,9,1,42,211,619,35,4,20988
Cherokee County, KS,2,2,48,242,374,37,14,20978
Buchanan County, IA,0,1,7,17,106,8,1,20976
Vernon County, MO,0,9,73,242,870,72,5,20949
Dakota County, NE,0,5,17,57,317,24,0,20947
Spencer County, IN,5,0,0,2,11,0,0,20944
Saunders County, NE,0,1,5,36,164,8,1,20929
Labette County, KS,0,5,59,178,416,28,9,20916
McDowell County, WV,0,5,56,91,171,105,3,20876
Klickitat County, WA,0,1,19,95,209,20,0,20866
Richland Parish, LA,0,3,58,75,369,14,1,20857
Sevier County, UT,0,1,28,81,450,34,3,20852
Northampton County, NC,1,9,44,205,184,31,2,20839
Fillmore County, MN,0,1,7,42,72,7,1,20835
Crook County, OR,0,1,53,95,332,7,1,20815
Colorado County, TX,4,2,42,120,255,22,0,20752
Wayne County, KY,1,5,7,83,131,11,1,20678
Washington County, GA,1,10,39,132,375,9,2,20676
Hubbard County, MN,0,0,11,117,318,22,1,20658
Jackson County, WI,0,3,13,59,301,10,0,20644
Jones County, IA,0,0,7,39,85,6,0,20611
Taylor County, WI,0,0,2,55,159,9,0,20610
Bandera County, TX,0,0,18,45,67,10,0,20601
Carroll County, IA,0,1,6,24,99,7,0,20598
Warren County, NC,2,6,40,211,283,51,5,20575
Clinton County, MO,1,2,64,108,321,20,7,20571
Franklin Parish, LA,0,0,47,39,111,14,0,20571
Buena Vista County, IA,0,0,58,90,217,13,5,20567
Wayne County, MS,0,0,0,0,0,0,0,20539
Kewaunee County, WI,1,0,5,30,222,9,1,20505
DeWitt County, TX,0,5,87,124,290,21,1,20503
Fayette County, IA,0,0,34,65,131,16,13,20502
Pacific County, WA,0,1,19,332,243,14,0,20498
McIntosh County, OK,1,1,27,126,282,35,3,20493
Adams County, WI,0,6,11,225,343,16,0,20480
Fulton County, IN,0,3,11,41,69,13,0,20449
Concordia Parish, LA,2,5,107,142,304,18,0,20442
Martin County, MN,0,1,13,49,255,11,1,20422
Polk County, NC,0,1,7,100,169,14,3,20411
Hampton County, SC,0,18,102,203,336,27,17,20408
Clay County, MS,4,8,48,147,265,3,0,20408
Polk County, AR,1,3,46,214,360,13,8,20406
Phillips County, AR,1,26,132,478,442,33,11,20399
Dodge County, MN,0,2,32,52,211,12,0,20349
Bertie County, NC,0,8,21,120,229,11,3,20344
La Paz County, AZ,0,2,79,151,408,54,0,20324
Gonzales County, TX,2,4,83,166,351,25,1,20312
Allen County, KY,0,3,3,75,77,12,1,20311
Duchesne County, UT,0,0,28,96,432,28,4,20308
Minidoka County, ID,0,3,11,100,213,29,5,20292
Butler County, AL,6,11,87,182,408,30,3,20265
Morgan County, MO,3,1,104,154,248,25,0,20265
Washington County, NE,0,2,3,20,93,13,0,20223
Henry County, IA,0,0,42,68,228,19,5,20222
Lampasas County, TX,0,2,24,87,303,5,5,20222
Marengo County, AL,3,9,72,148,356,21,4,20155
Lincoln County, NM,2,3,40,179,341,18,0,20105
Saluda County, SC,0,6,80,160,250,28,1,20091
Carroll County, IN,0,1,9,95,206,27,0,20086
Marion County, KY,0,1,11,99,143,19,1,20045
Breckinridge County, KY,0,1,6,37,26,9,2,20040
Bourbon County, KY,1,5,12,137,280,25,3,19998
Roosevelt County, NM,0,3,71,219,348,32,0,19955
Kent County, MD,0,21,57,113,235,10,1,19944
Douglas County, IL,0,1,44,86,115,6,1,19887
Jones County, TX,0,8,35,120,320,18,2,19859
Davison County, SD,0,3,36,62,364,24,3,19823
Orange County, IN,0,2,32,60,6,2,0,19773
East Feliciana Parish, LA,1,0,3,13,29,4,0,19728
Holmes County, FL,1,3,39,96,137,16,1,19717
Macon County, AL,6,25,140,516,640,110,3,19688
Freestone County, TX,1,6,39,165,172,21,3,19646
Dickinson County, KS,0,1,24,158,304,22,1,19609
Elbert County, GA,2,9,60,204,523,34,0,19599
Jackson County, IA,0,1,21,111,167,12,2,19587
Lavaca County, TX,0,1,30,130,199,17,1,19581
Langlade County, WI,0,0,32,174,604,35,0,19575
Perry County, IN,2,0,6,35,132,8,6,19558
Tishomingo County, MS,1,1,7,48,55,7,1,19529
New Kent County, VA,0,1,18,107,221,9,1,19507
Crawford County, IL,0,0,42,54,185,6,4,19505
Montague County, TX,0,2,20,109,356,26,0,19503
Lincoln County, MT,3,0,38,44,194,10,2,19460
Llano County, TX,0,0,8,134,253,11,11,19444
Covington County, MS,0,0,0,33,15,3,0,19423
Pickens County, AL,5,1,34,74,135,5,0,19401
Attala County, MS,1,4,13,57,80,0,0,19317
Paulding County, OH,0,1,6,63,120,0,1,19254
Deaf Smith County, TX,0,6,26,98,260,25,6,19177
DeKalb County, TN,2,9,54,159,361,28,5,19164
Union County, TN,2,9,44,237,403,47,13,19102
Waseca County, MN,0,3,13,80,219,10,1,19098
Smith County, TN,0,4,39,135,228,27,2,19074
Perry County, MO,0,2,25,64,195,10,3,19072
Adams County, WA,0,8,28,184,505,59,10,19067
Berrien County, GA,0,8,25,149,274,11,1,19048
Green Lake County, WI,0,1,7,50,270,11,2,18959
Pierce County, GA,0,16,41,143,218,13,0,18938
Benton County, MO,1,4,66,191,314,19,1,18932
Gaines County, TX,2,2,14,59,136,10,0,18921
Plumas County, CA,0,1,92,143,271,23,0,18859
Jefferson County, KS,0,0,40,118,302,40,4,18813
Greene County, VA,0,0,11,31,213,9,2,18804
Houston County, MN,0,0,16,35,92,9,0,18799
Winston County, MS,1,4,14,37,70,3,1,18788
Drew County, AR,1,5,54,151,423,23,2,18785
Arkansas County, AR,0,24,83,339,429,34,7,18777
Adair County, KY,0,5,10,47,49,6,1,18732
Madison County, FL,1,13,133,153,317,16,4,18728
Otero County, CO,0,3,24,98,203,10,2,18703
Pike County, MO,0,0,14,77,218,15,1,18669
Hancock County, IL,0,0,1,57,175,5,0,18618
Poweshiek County, IA,0,2,34,74,144,18,6,18601
Hart County, KY,0,0,6,28,28,6,1,18573
Montour County, PA,0,1,42,66,185,7,6,18541
Harrison County, KY,0,9,13,161,401,27,2,18518
Chaffee County, CO,0,0,8,48,221,4,1,18510
Wright County, MO,1,1,45,102,275,15,4,18473
Inyo County, CA,0,4,75,103,211,11,0,18467
Schuyler County, NY,1,1,15,40,111,9,0,18460
Appling County, GA,1,3,23,147,438,13,0,18440
Holmes County, MS,1,0,11,15,5,2,0,18428
Banks County, GA,0,1,52,109,428,29,0,18415
Cedar County, IA,0,0,18,5,156,9,2,18393
Patrick County, VA,0,5,15,66,220,27,2,18368
New Madrid County, MO,2,3,34,27,130,11,5,18365
Lincoln County, WY,0,0,11,38,89,4,1,18364
Lee County, SC,0,18,112,255,511,66,8,18347
Young County, TX,0,1,18,130,315,14,5,18341
Brantley County, GA,1,5,23,229,119,0,0,18292
Eastland County, TX,0,6,33,170,214,17,1,18245
Humphreys County, TN,0,0,37,74,234,8,1,18243
Haywood County, TN,0,10,131,226,396,26,5,18224
Southampton County, VA,0,4,20,94,226,34,2,18128
Unicoi County, TN,0,1,31,59,323,23,3,18082
Beadle County, SD,0,0,34,67,370,21,0,18080
Frio County, TX,0,4,17,146,217,6,3,18065
Franklin County, AR,2,2,46,99,287,24,3,18034
Grant County, AR,1,3,49,137,219,22,4,18019
Stone County, MS,0,0,11,45,74,1,0,18016
McCreary County, KY,0,7,3,65,42,9,3,17989
Johnson County, TN,2,2,80,96,169,38,2,17977
Edgar County, IL,0,3,50,88,154,12,2,17960
Lamar County, GA,3,7,41,79,384,34,4,17959
Fentress County, TN,1,4,36,116,339,19,3,17909
Bosque County, TX,0,0,11,68,118,7,3,17855
Pemiscot County, MO,0,21,151,192,463,23,2,17823
Los Alamos County, NM,0,0,49,39,164,5,3,17798
Pike County, GA,0,2,6,44,69,1,0,17796
Simpson County, KY,1,12,14,149,312,20,2,17793
Morgan County, GA,0,9,20,104,280,25,4,17781
Ste. Genevieve County, MO,1,1,56,38,180,13,1,17778
Clayton County, IA,0,0,13,18,37,3,2,17773
Bethel Census Area, AK,1,2,32,39,58,38,4,17758
Mariposa County, CA,3,2,64,93,222,22,0,17755
Russell County, KY,0,3,5,49,96,12,1,17752
Warren County, IL,0,2,69,133,460,10,4,17726
Richland County, WI,0,0,5,12,66,0,0,17717
Avery County, NC,0,1,23,61,184,7,5,17713
Randolph County, AR,0,0,5,40,21,1,2,17692
Cooper County, MO,1,2,30,109,324,16,1,17647
Spencer County, KY,0,2,4,53,87,7,1,17637
Colonial Heights city, VA,0,9,30,57,881,41,7,17634
Jackson County, AR,0,15,38,235,557,50,7,17615
Westmoreland County, VA,1,0,15,38,165,9,6,17612
Socorro County, NM,0,2,124,139,365,23,3,17584
Union County, IL,1,0,31,40,192,5,0,17583
Tama County, IA,0,0,55,45,63,9,17,17576
Yancey County, NC,1,1,13,88,110,4,1,17566
Cross County, AR,0,3,53,190,244,8,5,17548
Delaware County, IA,2,1,23,26,76,5,1,17534
Ben Hill County, GA,0,12,54,180,303,24,3,17515
Hughes County, SD,4,3,36,69,436,31,3,17508
Morgan County, WV,0,1,20,96,117,23,0,17498
Potter County, PA,1,0,14,89,89,12,0,17497
Falls County, TX,1,4,24,70,86,2,2,17493
Bond County, IL,0,2,3,59,162,9,1,17470
Andrew County, MO,1,0,11,43,102,10,0,17445
Hardin County, IA,0,1,21,68,247,7,2,17441
Crawford County, IA,0,0,7,10,37,3,0,17434
Benzie County, MI,1,0,12,40,129,1,1,17428
Pitkin County, CO,0,1,20,26,368,6,2,17379
Sevier County, AR,0,1,26,123,273,15,1,17366
Humboldt County, NV,2,2,45,62,111,24,2,17363
Bristol city, VA,2,17,36,114,507,31,3,17341
Chester County, TN,0,0,41,110,162,12,1,17321
Chickasaw County, MS,1,4,13,30,29,1,0,17311
Scurry County, TX,1,4,49,108,260,20,1,17302
Henry County, AL,4,6,52,140,186,17,4,17296
Mason County, KY,0,5,14,139,395,16,3,17278
Dukes County, MA,0,3,30,67,326,25,2,17256
Parke County, IN,0,1,7,17,19,1,1,17202
Kalkaska County, MI,0,1,15,161,308,17,2,17196
Radford city, VA,1,8,63,108,394,21,3,17184
Burleson County, TX,1,2,14,61,125,14,0,17169
Buckingham County, VA,0,4,19,210,167,24,1,17136
Piscataquis County, ME,0,2,32,113,187,9,2,17124
Seward County, NE,0,0,4,25,110,10,0,17089
Cook County, GA,0,6,22,153,185,11,0,17066
Sharp County, AR,0,1,12,73,144,6,2,17049
Lawrence County, AR,0,1,19,64,121,5,3,17011
Rush County, IN,0,2,7,125,355,11,0,17004
Brunswick County, VA,0,2,7,56,79,13,1,16973
Taylor County, WV,0,2,7,14,28,4,0,16973
Dickinson County, IA,0,0,7,29,122,3,0,16955
Wayne County, TN,1,0,41,46,93,8,3,16939
Van Buren County, AR,1,0,39,63,234,24,5,16932
Gilchrist County, FL,0,1,32,94,137,16,0,16931
Giles County, VA,0,0,9,45,239,7,1,16925
Garrard County, KY,0,1,7,69,82,6,3,16915
Fayette County, AL,1,3,26,52,110,17,7,16909
Fountain County, IN,1,0,3,12,33,1,1,16880
Washington County, AL,2,3,46,68,146,23,6,16877
Jefferson County, IA,1,1,12,76,187,32,0,16810
Andrews County, TX,1,0,71,78,258,18,0,16799
Barbour County, WV,0,0,44,70,66,10,0,16770
Lafayette County, WI,0,2,3,33,156,14,1,16766
Atchison County, KS,0,6,52,112,343,22,6,16749
Leon County, TX,1,1,9,94,112,22,0,16742
Rockcastle County, KY,0,2,2,93,55,7,2,16693
Polk County, TN,4,2,43,115,210,41,0,16690
Gem County, ID,0,0,22,41,70,4,3,16686
Claiborne Parish, LA,0,6,60,131,219,32,3,16650
Lee County, TX,0,3,45,91,226,12,0,16628
Long County, GA,1,3,10,154,130,19,1,16624
Wayne County, IL,0,1,47,87,198,4,2,16612
Telfair County, GA,0,2,41,69,155,9,0,16591
Hill County, MT,0,1,69,40,519,36,11,16568
Lawrence County, IL,1,0,11,33,90,5,5,16558
Bates County, MO,0,1,50,115,336,40,3,16550
Dallas County, MO,0,0,22,118,254,13,0,16535
Pawnee County, OK,1,4,30,59,116,16,2,16513
Sawyer County, WI,0,1,26,164,236,12,1,16513
Dade County, GA,0,1,36,62,169,22,0,16507
Clay County, IA,1,0,4,106,156,12,0,16491
Robertson County, TX,0,5,51,126,194,11,6,16486
Jasper County, MS,0,0,1,3,6,2,0,16470
Lewis County, WV,0,0,21,39,113,3,0,16452
Piatt County, IL,0,1,17,66,79,5,3,16433
Marion County, AR,0,1,47,117,190,6,1,16430
Neosho County, KS,0,5,26,270,325,16,6,16430
De Witt County, IL,0,1,8,13,42,0,1,16420
Clarke County, MS,0,0,0,0,0,0,0,16415
Crawford County, WI,0,0,2,19,168,5,0,16397
Richland County, ND,0,1,9,54,209,23,0,16339
Iowa County, IA,0,1,22,40,122,11,1,16330
Greene County, GA,1,4,44,100,340,11,0,16321
Jefferson County, GA,0,17,32,121,210,13,0,16320
Benton County, TN,0,1,37,94,220,23,1,16290
Alamosa County, CO,0,3,22,52,226,15,3,16253
Rabun County, GA,1,1,29,136,201,17,0,16235
Smith County, MS,0,0,0,0,0,0,0,16225
Wetzel County, WV,0,1,18,62,91,12,2,16204
Clark County, IL,0,0,33,49,80,4,5,16182
Richland County, IL,0,1,24,51,238,7,7,16182
Mercer County, IL,1,3,32,68,137,3,1,16178
Alleghany County, VA,1,1,13,67,179,4,4,16161
Pike County, IL,0,1,0,15,44,2,0,16150
Manassas Park city, VA,0,1,19,20,201,13,0,16149
Osage County, KS,0,0,38,88,177,13,4,16142
Park County, CO,0,0,17,27,41,2,4,16121
Idaho County, ID,0,0,22,48,81,7,1,16116
Jackson Parish, LA,0,0,0,0,0,0,0,16112
King William County, VA,0,0,13,39,99,12,0,16097
Floyd County, IA,0,1,25,39,134,8,2,16092
Casey County, KY,0,3,4,56,46,4,1,16067
Baker County, OR,0,1,0,20,53,3,0,16018
Ashland County, WI,0,2,50,78,411,14,1,16016
Kanabec County, MN,0,1,36,104,226,27,3,15996
Marshall County, OK,2,0,37,35,81,15,1,15988
Knott County, KY,0,0,1,19,32,7,0,15976
Dixie County, FL,0,5,48,213,194,27,4,15940
Gogebic County, MI,1,0,12,32,239,5,4,15916
