County,State,MURDER,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
Anchorage Municipality, AK,15,488,1676,1159,8724,845,98,300950
Northampton County, PA,9,196,332,961,4586,192,21,299791
Rockingham County, NH,7,43,226,925,4649,223,54,299134
Osceola County, FL,8,209,1166,2801,5962,367,7,298504
Lancaster County, NE,4,201,686,1755,8718,323,32,297036
Dutchess County, NY,5,161,480,897,4133,145,41,296916
Hamilton County, IN,0,31,56,422,2420,144,10,296693
Spartanburg County, SC,10,233,908,2450,6573,633,54,290969
Winnebago County, IL,15,553,1721,2939,7356,492,101,290666
Gloucester County, NJ,7,172,254,1768,5565,288,24,290265
Horry County, SC,21,416,1151,3158,10088,1073,57,289650
Lubbock County, TX,12,328,1664,3400,9224,828,52,289324
Durham County, NC,21,633,1066,3735,7491,772,61,288133
St. Lucie County, FL,7,223,796,2001,4673,273,15,286832
Cumberland County, ME,1,137,171,1332,5831,218,47,285456
Greene County, MO,17,362,1219,2863,13016,1238,86,283870
Ingham County, MI,13,237,958,1971,4891,428,112,282234
Leon County, FL,17,576,1142,3378,7002,641,25,281845
Rutherford County, TN,6,195,954,1694,5162,396,14,281029
Erie County, PA,11,223,368,1808,5332,211,36,280294
Chatham County, GA,24,537,474,2458,6876,759,39,278434
San Luis Obispo County, CA,6,78,753,1568,4266,418,87,276443
Atlantic County, NJ,30,479,678,1794,6331,301,37,275862
New London County, CT,5,99,425,662,2537,168,35,274150
Lexington County, SC,12,156,709,1500,5487,636,19,273752
Ottawa County, MI,2,38,268,1169,3857,104,35,272701
Dauphin County, PA,18,527,724,1533,5404,288,56,270937
Weld County, CO,6,89,583,971,4127,286,52,269785
Santa Cruz County, CA,10,220,735,1633,6104,972,43,269419
Cleveland County, OK,13,210,571,2383,6949,908,40,269340
Madison County, IL,12,118,392,1413,4303,177,40,267225
St. Clair County, IL,28,349,1528,2426,5150,657,70,266955
St. Joseph County, IN,21,388,410,2626,5877,525,56,266709
Clayton County, GA,28,693,728,4477,7068,1636,34,264220
Merced County, CA,23,331,1425,2686,6047,1358,83,263228
Webb County, TX,8,187,846,1825,8845,410,87,262495
Thurston County, WA,10,89,356,2150,5056,444,27,262388
Marin County, CA,0,156,304,1253,3254,584,42,258365
Kalamazoo County, MI,13,223,580,1635,5447,320,61,256725
Caddo Parish, LA,17,436,1016,2642,7558,479,79,254887
Brown County, WI,8,98,534,989,3685,158,15,254586
Kitsap County, WA,5,111,458,2073,5454,614,42,253968
Alachua County, FL,10,253,1133,1917,6331,357,25,253451
Jefferson County, TX,20,554,1106,3147,6454,519,99,252358
Harford County, MD,3,156,483,1020,2817,206,41,249215
Buncombe County, NC,10,181,347,1661,5237,537,22,247912
Yakima County, WA,19,218,575,3051,5578,1684,54,247044
Washington County, MN,2,25,101,926,4657,277,36,246603
Norfolk city, VA,34,502,750,2327,8972,759,62,246139
Hinds County, MS,66,846,712,4627,7416,1272,69,244899
St. Tammany Parish, LA,9,39,364,1003,3879,227,14,242333
McLennan County, TX,9,218,676,2237,6380,286,63,241481
Frederick County, MD,1,131,438,676,3115,198,30,241409
Cumberland County, PA,0,69,71,614,3163,80,18,241212
York County, SC,10,167,922,1090,4480,327,31,239363
Weber County, UT,3,121,295,1307,5593,342,27,238519
Benton County, AR,3,29,490,1214,3461,176,22,237297
Mahoning County, OH,25,311,456,2855,4970,436,283,233869
Oneida County, NY,2,165,392,1212,4387,192,37,233585
Lafayette Parish, LA,17,267,960,2110,6959,396,46,230845
Chesapeake city, VA,12,202,592,1044,5041,293,27,230571
Clay County, MO,8,32,173,526,2000,268,25,230473
Lake County, OH,1,102,261,637,3194,132,19,229857
Montgomery County, AL,45,465,344,3656,7855,1171,66,226659
Cherokee County, GA,3,32,136,774,2189,168,1,225106
Arlington County, VA,5,118,151,288,3804,257,4,224906
Saratoga County, NY,2,20,113,542,2479,55,13,223865
Butte County, CA,11,167,431,1919,3147,593,62,222090
Jefferson County, MO,6,32,374,653,3431,268,28,221396
Warren County, OH,0,46,101,797,3144,67,31,219169
Washington County, AR,7,70,733,1285,5033,331,30,216410
Linn County, IA,4,101,258,1288,4262,305,43,216111
Smith County, TX,6,115,635,1890,4673,320,20,216080
Yavapai County, AZ,12,47,584,943,3186,221,42,215133
Barnstable County, MA,1,79,763,2223,3459,156,36,214990
Niagara County, NY,4,207,560,1437,4425,228,61,214249
Richmond city, VA,44,640,654,2068,6833,952,54,214114
Lackawanna County, PA,0,165,296,1023,3352,187,47,213931
New Hanover County, NC,9,300,480,2447,6038,500,20,213267
Union County, NC,11,116,356,1330,3547,213,24,212756
Henry County, GA,5,123,222,1609,3945,444,16,211128
St. Johns County, FL,8,58,510,929,3514,167,4,209647
Gaston County, NC,6,194,535,1826,4872,377,49,209420
Jackson County, OR,4,82,499,1029,6491,317,71,208545
Washington County, PA,5,91,261,731,2748,140,38,208206
Sussex County, DE,6,170,697,1850,4502,210,8,206649
Trumbull County, OH,5,168,269,2163,3941,274,26,206442
Whatcom County, WA,2,68,281,1221,4614,236,22,206353
Champaign County, IL,4,226,789,1571,4040,166,47,204897
Yolo County, CA,0,162,323,1312,4122,522,106,204593
Shelby County, AL,8,63,252,820,3110,203,8,204180
Brazos County, TX,5,109,670,1287,4322,164,24,203164
Mohave County, AZ,12,57,267,1790,4842,444,20,203030
Muscogee County, GA,17,424,523,2712,7767,846,28,202824
Richmond County, GA,28,546,255,3186,7591,1193,51,202003
Yuma County, AZ,8,72,576,1567,3078,394,45,201201
Tuscaloosa County, AL,10,234,568,1932,5013,367,28,200821
Elkhart County, IN,8,149,596,1247,3629,334,34,200563
St. Louis County, MN,2,106,317,1078,4695,276,72,200540
Clermont County, OH,2,32,89,1240,4158,118,30,200218
York County, ME,6,54,165,1025,3405,135,39,199431
Sangamon County, IL,40,318,1110,2104,6278,875,76,199145
Williamson County, TN,2,28,204,372,1853,82,13,198901
Canyon County, ID,4,33,324,1050,2754,179,34,198871
Broome County, NY,7,135,398,1252,4891,126,27,197534
Saginaw County, MI,29,242,1232,1751,2707,223,56,196542
Harrison County, MS,10,170,156,2176,5266,350,34,196500
Clay County, FL,7,86,656,842,3330,126,22,196399
Baldwin County, AL,8,76,332,967,3829,192,31,195540
Forsyth County, GA,0,10,142,395,1432,33,2,195405
Calcasieu Parish, LA,12,241,614,3762,4802,231,16,195296
Racine County, WI,6,226,212,1430,3673,187,26,195041
Berkeley County, SC,16,134,527,1425,4061,513,62,194020
Okaloosa County, FL,2,108,718,920,3889,219,2,193811
Kanawha County, WV,11,148,657,1540,4835,359,58,191275
Hawaii County, HI,5,74,301,1184,3751,443,19,190821
Anderson County, SC,18,157,914,2438,6372,835,36,190641
Peoria County, IL,14,347,723,1809,4545,290,61,188429
Hall County, GA,7,96,185,923,3078,324,22,187745
Cabarrus County, NC,6,81,101,1035,3163,222,31,187226
Litchfield County, CT,2,19,66,386,1877,103,8,186924
Butler County, PA,3,48,147,440,1853,64,13,185476
Onslow County, NC,7,55,273,1321,3438,183,24,185220
Delaware County, OH,2,59,45,797,2334,100,23,184979
Benton County, WA,1,58,288,890,3408,260,36,184486
